"","50PLUS","BBB","BIJ1","BVNL","CDA","ChristenUnie","D66","DENK","FVD","GroenLinks","GroenLinks-PvdA","JA21","NSC","Omtzigt","PvdA","PvdD","PVV","SGP","SP","Volt","VVD"
"50PLUS",0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"BBB",1e-06,0,1e-06,1e-06,0.73006993006993,0.656743256743257,0.57982017982018,0.486913086913087,0.630947620951619,1e-06,0.486713286713287,0.784269199009083,0.783503095666067,1e-06,1e-06,0.420979020979021,0.760934691431995,0.768631368631369,0.47952047952048,0.511088911088911,0.81725584182145
"BIJ1",1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"BVNL",1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"CDA",1e-06,0.73006993006993,1e-06,1e-06,0,0.780819180819181,0.733466533466533,0.592607392607393,0.523990403838465,1e-06,0.641558441558442,0.674649050371594,0.794487717195926,1e-06,1e-06,0.558241758241758,0.592770121829439,0.761638361638362,0.590809190809191,0.672327672327672,0.772718194527661
"ChristenUnie",1e-06,0.656743256743257,1e-06,1e-06,0.780819180819181,0,0.789210789210789,0.6999000999001,0.513794482207117,1e-06,0.76043956043956,0.637076796036334,0.750948671859397,1e-06,1e-06,0.677522477522478,0.529752396166134,0.749050949050949,0.714885114885115,0.776823176823177,0.667864989015378
"D66",1e-06,0.57982017982018,1e-06,1e-06,0.733466533466533,0.789210789210789,0,0.732467532467532,0.437225109956018,1e-06,0.840959040959041,0.560280759702725,0.694627521469942,1e-06,1e-06,0.742857142857143,0.448971439984022,0.643356643356643,0.74945054945055,0.878921078921079,0.629718394248053
"DENK",1e-06,0.486913086913087,1e-06,1e-06,0.592607392607393,0.6999000999001,0.732467532467532,0,0.501199520191923,1e-06,0.805994005994006,0.489265070189926,0.578989414819253,1e-06,1e-06,0.801398601398601,0.413820651088476,0.552847152847153,0.823576423576424,0.788011988011988,0.480926702616337
"FVD",1e-06,0.630947620951619,1e-06,1e-06,0.523990403838465,0.513794482207117,0.437225109956018,0.501199520191923,0,1e-06,0.418832467013195,0.682090477174138,0.552358113509193,1e-06,1e-06,0.405037984806078,0.668598840695583,0.610955617752899,0.46921231507397,0.421631347461016,0.5517585931255
"GroenLinks",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"GroenLinks-PvdA",1e-06,0.486713286713287,1e-06,1e-06,0.641558441558442,0.76043956043956,0.840959040959041,0.805994005994006,0.418832467013195,1e-06,0,0.486787778695293,0.613141601757539,1e-06,1e-06,0.869130869130869,0.387457559416816,0.564235764235764,0.854145854145854,0.893706293706294,0.517874975034951
"JA21",1e-06,0.784269199009083,1e-06,1e-06,0.674649050371594,0.637076796036334,0.560280759702725,0.489265070189926,0.682090477174138,1e-06,0.486787778695293,0,0.691085431283533,1e-06,1e-06,0.420933113129645,0.75257944696657,0.746903385631709,0.483071841453344,0.514450867052023,0.734626496079241
"NSC",1e-06,0.783503095666067,1e-06,1e-06,0.794487717195926,0.750948671859397,0.694627521469942,0.578989414819253,0.552358113509193,1e-06,0.613141601757539,0.691085431283533,0,1e-06,1e-06,0.538645895745956,0.654222399680575,0.760734971040543,0.585180746954264,0.639504693429199,0.813136354561789
"Omtzigt",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"PvdA",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"PvdD",1e-06,0.420979020979021,1e-06,1e-06,0.558241758241758,0.677522477522478,0.742857142857143,0.801398601398601,0.405037984806078,1e-06,0.869130869130869,0.420933113129645,0.538645895745956,1e-06,1e-06,0,0.35130816856401,0.49050949050949,0.865534465534466,0.818381618381618,0.435390453365289
"PVV",1e-06,0.760934691431995,1e-06,1e-06,0.592770121829439,0.529752396166134,0.448971439984022,0.413820651088476,0.668598840695583,1e-06,0.387457559416816,0.75257944696657,0.654222399680575,1e-06,1e-06,0.35130816856401,0,0.658278410225684,0.40103854603555,0.397044138206511,0.710720702735077
