"","50PLUS","BBB","BIJ1","BVNL","CDA","ChristenUnie","D66","DENK","FVD","GroenLinks","GroenLinks-PvdA","JA21","NSC","Omtzigt","PvdA","PvdD","PVV","SGP","SP","Volt","VVD"
"50PLUS",0,1e-06,1e-06,1e-06,0.5,0.5,0.5,0.5,1,1,1e-06,1e-06,1e-06,1e-06,1,1,1,0.5,1,1e-06,0.5
"BBB",1e-06,0,0.634709587123863,1e-06,0.61640657950232,0.608814846056516,0.553985660059047,0.730915225643189,0.664978902953587,0.646562631800928,1e-06,0.751642297096843,1e-06,0.781350482315113,0.645719105862505,0.634964150147617,0.722175379426644,0.762758329818642,0.686840995360607,0.650780261493041,0.604597216364403
"BIJ1",1e-06,0.634709587123863,0,1e-06,0.531731217918805,0.601959869342044,0.633924405039664,0.82104526364909,0.453569762015866,0.843443770415306,1e-06,0.478626489138052,1e-06,0.671052631578947,0.843443770415306,0.870975268315446,0.513412642873805,0.566262249183388,0.841110592627158,0.842277181521232,0.49953336444237
"BVNL",1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"CDA",0.5,0.61640657950232,0.531731217918805,1e-06,0,0.886669470142977,0.844196804037006,0.613167858645351,0.491792929292929,0.62026913372582,1e-06,0.619581306830197,1e-06,0.724098322995635,0.620689655172414,0.538687973086627,0.527433256253942,0.757989907485282,0.552144659377628,0.637626262626263,0.905172413793103
"ChristenUnie",0.5,0.608814846056516,0.601959869342044,1e-06,0.886669470142977,0,0.888561816652649,0.663651661758519,0.443813131313131,0.691968040370059,1e-06,0.577923451046733,1e-06,0.73994946014243,0.69322960470984,0.613330529857023,0.502522068095839,0.749369217830109,0.622582001682086,0.706649831649832,0.850294365012616
"D66",0.5,0.553985660059047,0.633924405039664,1e-06,0.844196804037006,0.888561816652649,0,0.666596550273454,0.408249158249158,0.730235492010093,1e-06,0.524212307041658,1e-06,0.687801516195727,0.730656013456686,0.638982338099243,0.457851587134749,0.681244743481918,0.62636669470143,0.744949494949495,0.830529857022708
"DENK",0.5,0.730915225643189,0.82104526364909,1e-06,0.613167858645351,0.663651661758519,0.666596550273454,0,0.506102693602694,0.834244846445099,1e-06,0.57623176147177,1e-06,0.74500344589938,0.835086243163652,0.807530500631048,0.589484752891693,0.652713504417333,0.822675641564998,0.828493265993266,0.586663862010938
"FVD",1,0.664978902953587,0.453569762015866,1e-06,0.491792929292929,0.443813131313131,0.408249158249158,0.506102693602694,0,0.406355218855219,1e-06,0.740960033833791,1e-06,0.582624683980694,0.406355218855219,0.445286195286195,0.774458236903009,0.597853535353535,0.497895622895623,0.410315789473684,0.496422558922559
"GroenLinks",1,0.646562631800928,0.843443770415306,1e-06,0.62026913372582,0.691968040370059,0.730235492010093,0.834244846445099,0.406355218855219,0,1e-06,0.490589976739268,1e-06,0.716747070985527,0.995794785534062,0.871740958788898,0.501261034047919,0.624684608915055,0.83515559293524,0.928451178451178,0.58515559293524
