"from","to","weight","agreements","total_votes","width","color"
"BBB","BIJ1",0.500324886289799,770,1539,1.50486571436873,"#80808014"
"BBB","CDA",0.635423400129282,983,1547,1.91121192482178,"#80808014"
"BBB","ChristenUnie",0.601294498381877,929,1545,1.80855979714212,"#80808014"
"D66","BBB",0.523166023166023,813,1554,1.57356676183637,"#80808014"
"BBB","DENK",0.659767141009056,1020,1546,1.98443247013806,"#80808014"
"BBB","Ephraim",0.198181818181818,218,1100,0.596086725976551,"#80808014"
"BBB","FVD",0.680232558139535,1053,1548,2.04598788225896,"#80808014"
"BBB","Fractie Den Haan",0.557567917205692,862,1546,1.67703998946962,"#80808014"
"BBB","G<U+00FC>ndogan",0.369818652849741,571,1544,1.11233205954352,"#80808014"
"BBB","GroenLinks",0.562015503875969,870,1548,1.69041733861852,"#80808014"
"BBB","Groep Van Haga",0.75984506132989,1177,1549,2.28544454285938,"#808080D9"
"BBB","JA21",0.752430330524951,1161,1543,2.26314268565541,"#808080D9"
"Omtzigt","BBB",0.684381075826312,1056,1543,2.05846569858063,"#80808014"
"BBB","PVV",0.726567550096962,1124,1547,2.18535320803629,"#80808014"
"BBB","PvdA",0.562459546925566,869,1545,1.69175292111572,"#80808014"
"BBB","PvdD",0.533980582524272,825,1545,1.60609454536302,"#80808014"
"BBB","SGP",0.764059469941823,1182,1547,2.29812054439404,"#808080D9"
"BBB","SP",0.588615782664942,910,1546,1.77042504688788,"#80808014"
"BBB","VVD",0.637830858618464,988,1549,1.91845302323285,"#80808014"
"BBB","Volt",0.567444876783398,875,1542,1.70674768188707,"#80808014"
"CDA","BIJ1",0.486679662118259,749,1539,1.46382392215868,"#80808014"
"ChristenUnie","BIJ1",0.598179453836151,920,1538,1.79919043762383,"#80808014"
"D66","BIJ1",0.61294498381877,947,1545,1.84360185995004,"#80808014"
"DENK","BIJ1",0.751463890696161,1155,1537,2.26023585011075,"#808080D9"
"BIJ1","Ephraim",0.132662397072278,145,1093,0.5,"#80808014"
"FVD","BIJ1",0.380519480519481,586,1540,1.14451776350675,"#80808014"
"Fractie Den Haan","BIJ1",0.674463937621832,1038,1539,2.02863715781136,"#80808014"
"G<U+00FC>ndogan","BIJ1",0.448275862068966,689,1537,1.34831385344269,"#80808014"
"GroenLinks","BIJ1",0.784275503573749,1207,1539,2.35892586654943,"#808080D9"
"BIJ1","Groep Van Haga",0.407142857142857,627,1540,1.22459494491251,"#80808014"
"JA21","BIJ1",0.401692708333333,617,1536,1.20820211236228,"#80808014"
"Omtzigt","BIJ1",0.55859375,858,1536,1.68012546581335,"#80808014"
"BIJ1","PVV",0.449934980494148,692,1538,1.35330411177793,"#80808014"
"PvdA","BIJ1",0.786085825747724,1209,1538,2.36437091205132,"#808080D9"
"PvdD","BIJ1",0.8046875,1236,1536,2.42032060110175,"#808080D9"
"BIJ1","SGP",0.508771929824561,783,1539,1.53027253811782,"#80808014"
"SP","BIJ1",0.784275503573749,1207,1539,2.35892586654943,"#808080D9"
"BIJ1","VVD",0.431818181818182,665,1540,1.29881282036175,"#80808014"
"Volt","BIJ1",0.777198697068404,1193,1535,2.33764041030101,"#808080D9"
"CDA","ChristenUnie",0.827943078913325,1280,1546,2.49026819782031,"#808080D9"
"D66","CDA",0.785714285714286,1221,1554,2.36325340246273,"#808080D9"
