"from","to","weight","agreements","total_votes","width","color"
"BBB","BIJ1",0.569707401032702,993,1743,1.73437059928024,"#80808014"
"CDA","BBB",0.595913734392736,1050,1762,1.81415101640698,"#80808014"
"BBB","ChristenUnie",0.602395892755277,1056,1753,1.83388476896748,"#80808014"
"BBB","D66",0.560090702947846,988,1764,1.70509431045145,"#80808014"
"DENK","BBB",0.771640091116173,1355,1756,2.3491179592048,"#80808014"
"BBB","FVD",0.627350427350427,1101,1755,1.90985431235431,"#80808014"
"Fractie Den Haan","BBB",0.718285714285714,1257,1750,2.18669025974026,"#80808014"
"BBB","G<U+00FC>ndogan",0.638078902229846,1116,1749,1.94251520349291,"#80808014"
"BBB","GroenLinks",0.696145124716553,1228,1764,2.11928726035869,"#80808014"
"BBB","Groep Van Haga",0.709474885844749,1243,1752,2.15986729452055,"#80808014"
"BBB","JA21",0.714611872146119,1252,1752,2.17550591531756,"#80808014"
"BBB","Omtzigt",0.662471395881007,1158,1748,2.01677371541502,"#80808014"
"PVV","BBB",0.717120181405896,1265,1764,2.18314200680272,"#80808014"
"BBB","PvdA",0.696814562002275,1225,1758,2.1213252404592,"#80808014"
"PvdD","BBB",0.694808899030234,1218,1753,2.11521936420681,"#80808014"
"BBB","SGP",0.759111617312073,1333,1756,2.31097729861255,"#80808014"
"BBB","SP",0.734392735527809,1294,1762,2.2357251573625,"#80808014"
"BBB","VVD",0.570861678004535,1007,1764,1.73788458565244,"#80808014"
"BBB","Volt",0.701714285714286,1228,1750,2.13624155844156,"#80808014"
"CDA","BIJ1",0.433124644280023,761,1757,1.31856922957521,"#80808014"
"BIJ1","ChristenUnie",0.471395881006865,824,1748,1.4350790513834,"#80808014"
"BIJ1","D66",0.503695281409892,886,1759,1.53340870329216,"#80808014"
"DENK","BIJ1",0.67846944603084,1188,1751,2.06547687035979,"#80808014"
"BIJ1","FVD",0.368,644,1750,1.12030909090909,"#80808014"
"Fractie Den Haan","BIJ1",0.679656160458453,1186,1745,2.0690896066684,"#80808014"
"BIJ1","G<U+00FC>ndogan",0.606651376146789,1058,1744,1.84683981442869,"#80808014"
"GroenLinks","BIJ1",0.691870380898238,1217,1759,2.10627358002998,"#80808014"
"BIJ1","Groep Van Haga",0.387521465369204,677,1747,1.17973864286829,"#80808014"
