"from","to","z_score","raw_weight","agreement_rate","total_votes","weight","width","color"
"BBB","BIJ1",-0.296545217560586,770,0.500324886289799,1539,-0.296545217560586,1.35172739121971,"#80808026"
"BBB","CDA",0.388178485799161,983,0.635423400129282,1547,0.388178485799161,1.69408924289958,"#80808026"
"BBB","ChristenUnie",0.214586561003732,929,0.601294498381877,1545,0.214586561003732,1.60729328050187,"#80808026"
"D66","BBB",-0.158314610779041,813,0.523166023166023,1554,-0.158314610779041,1.42084269461048,"#80808026"
"BBB","DENK",0.507121100936769,1020,0.659767141009056,1546,0.507121100936769,1.75356055046838,"#80808026"
"BBB","Ephraim",-2.07104044880275,218,0.198181818181818,1100,-2.07104044880275,0.464479775598626,"#80808026"
"BBB","FVD",0.61320505497842,1053,0.680232558139535,1548,0.61320505497842,1.80660252748921,"#80808026"
"BBB","Fractie Den Haan",-0.000796012353559397,862,0.557567917205692,1546,-0.000796012353559397,1.49960199382322,"#80808026"
"BBB","G<U+00FC>ndogan",-0.936263607084482,571,0.369818652849741,1544,-0.936263607084482,1.03186819645776,"#80808026"
"BBB","GroenLinks",0.024921309838356,870,0.562015503875969,1548,0.024921309838356,1.51246065491918,"#80808026"
"BBB","Groep Van Haga",1.01182354895311,1177,0.75984506132989,1549,1.01182354895311,2.00591177447655,"#4D4D4DCC"
"BBB","JA21",0.960388904569278,1161,0.752430330524951,1543,0.960388904569278,1.98019445228464,"#80808026"
"Omtzigt","BBB",0.622849050800389,1056,0.684381075826312,1543,0.622849050800389,1.81142452540019,"#80808026"
"BBB","PVV",0.84144628943167,1124,0.726567550096962,1547,0.84144628943167,1.92072314471583,"#80808026"
"BBB","PvdA",0.0217066445643666,869,0.562459546925566,1545,0.0217066445643666,1.51085332228218,"#80808026"
"BBB","PvdD",-0.119738627491168,825,0.533980582524272,1545,-0.119738627491168,1.44013068625442,"#80808026"
"BBB","SGP",1.02789687532306,1182,0.764059469941823,1547,1.02789687532306,2.01394843766153,"#4D4D4DCC"
"BBB","SP",0.153507920797933,910,0.588615782664942,1546,0.153507920797933,1.57675396039897,"#80808026"
"BBB","VVD",0.404251812169108,988,0.637830858618464,1549,0.404251812169108,1.70212590608455,"#80808026"
"BBB","Volt",0.0409946362083031,875,0.567444876783398,1542,0.0409946362083031,1.52049731810415,"#80808026"
"CDA","BIJ1",-0.364053188314364,749,0.486679662118259,1539,-0.364053188314364,1.31797340584282,"#80808026"
"ChristenUnie","BIJ1",0.185654573537827,920,0.598179453836151,1538,0.185654573537827,1.59282728676891,"#80808026"
"D66","BIJ1",0.272450535935542,947,0.61294498381877,1545,0.272450535935542,1.63622526796777,"#80808026"
"DENK","BIJ1",0.941100912925342,1155,0.751463890696161,1537,0.941100912925342,1.97055045646267,"#80808026"
"BIJ1","Ephraim",-2.30571101380398,145,0.132662397072278,1093,-2.30571101380398,0.347144493098012,"#80808026"
"FVD","BIJ1",-0.88804362797464,586,0.380519480519481,1540,-0.88804362797464,1.05597818601268,"#80808026"
"Fractie Den Haan","BIJ1",0.564985075868579,1038,0.674463937621832,1539,0.564985075868579,1.78249253793429,"#80808026"
"G<U+00FC>ndogan","BIJ1",-0.55693310475373,689,0.448275862068966,1537,-0.55693310475373,1.22153344762314,"#80808026"
"GroenLinks","BIJ1",1.10826350717279,1207,0.784275503573749,1539,1.10826350717279,2.0541317535864,"#4D4D4DCC"
"BIJ1","Groep Van Haga",-0.756242351741074,627,0.407142857142857,1540,-0.756242351741074,1.12187882412946,"#80808026"
"JA21","BIJ1",-0.788389004480968,617,0.401692708333333,1536,-0.788389004480968,1.10580549775952,"#80808026"
