"from","to","z_score","raw_weight","agreement_rate","total_votes","weight","width","color"
"BBB","BIJ1",-0.547426320006993,993,0.569707401032702,1743,-0.547426320006993,1.2262868399965,"#80808026"
"CDA","BBB",-0.307808381049927,1050,0.595913734392736,1762,-0.307808381049927,1.34609580947504,"#80808026"
"BBB","ChristenUnie",-0.282585440107078,1056,0.602395892755277,1753,-0.282585440107078,1.35870727994646,"#80808026"
"BBB","D66",-0.568445437459368,988,0.560090702947846,1764,-0.568445437459368,1.21577728127032,"#80808026"
"DENK","BBB",0.974357783544903,1355,0.771640091116173,1756,0.974357783544903,1.98717889177245,"#80808026"
"BBB","FVD",-0.0934133830357095,1101,0.627350427350427,1755,-0.0934133830357095,1.45329330848215,"#80808026"
"Fractie Den Haan","BBB",0.562383081478367,1257,0.718285714285714,1750,0.562383081478367,1.78119154073918,"#80808026"
"BBB","G<U+00FC>ndogan",-0.0303560306785867,1116,0.638078902229846,1749,-0.0303560306785867,1.48482198466071,"#80808026"
"BBB","GroenLinks",0.440472200254597,1228,0.696145124716553,1764,0.440472200254597,1.7202361001273,"#80808026"
"BBB","Groep Van Haga",0.50352955261172,1243,0.709474885844749,1752,0.50352955261172,1.75176477630586,"#80808026"
"BBB","JA21",0.541363964025993,1252,0.714611872146119,1752,0.541363964025993,1.770681982013,"#80808026"
"BBB","Omtzigt",0.146204555921357,1158,0.662471395881007,1748,0.146204555921357,1.57310227796068,"#80808026"
"PVV","BBB",0.596013669402166,1265,0.717120181405896,1764,0.596013669402166,1.79800683470108,"#80808026"
"BBB","PvdA",0.427860729783172,1225,0.696814562002275,1758,0.427860729783172,1.71393036489159,"#80808026"
"PvdD","BBB",0.398433965349848,1218,0.694808899030234,1753,0.398433965349848,1.69921698267492,"#80808026"
"BBB","SGP",0.881873666754456,1333,0.759111617312073,1756,0.881873666754456,1.94093683337723,"#80808026"
"BBB","SP",0.717924550625937,1294,0.734392735527809,1762,0.717924550625937,1.85896227531297,"#80808026"
"BBB","VVD",-0.488572791140346,1007,0.570861678004535,1764,-0.488572791140346,1.25571360442983,"#80808026"
"BBB","Volt",0.440472200254597,1228,0.701714285714286,1750,0.440472200254597,1.7202361001273,"#80808026"
"CDA","BIJ1",-1.52271336979716,761,0.433124644280023,1757,-1.52271336979716,0.73864331510142,"#80808026"
"BIJ1","ChristenUnie",-1.25787248989724,824,0.471395881006865,1748,-1.25787248989724,0.871063755051378,"#80808026"
"BIJ1","D66",-0.997235433487803,886,0.503695281409892,1759,-0.997235433487803,1.0013822832561,"#80808026"
"DENK","BIJ1",0.272319260635603,1188,0.67846944603084,1751,0.272319260635603,1.6361596303178,"#80808026"
"BIJ1","FVD",-2.01456071818272,644,0.368,1750,-2.01456071818272,0.492719640908642,"#80808026"
"Fractie Den Haan","BIJ1",0.263911613654653,1186,0.679656160458453,1745,0.263911613654653,1.63195580682733,"#80808026"
"BIJ1","G<U+00FC>ndogan",-0.274177793126128,1058,0.606651376146789,1744,-0.274177793126128,1.36291110343694,"#80808026"
