"from","to","z_score","raw_weight","agreement_rate","total_votes","weight","width","color"
"CDA","BBB",1.0851307145413,253,0.755223880597015,335,1.0851307145413,2.04256535727065,"#4D4D4DCC"
"ChristenUnie","BBB",0.670958686090424,233,0.687315634218289,339,0.670958686090424,1.83547934304521,"#80808026"
"D66","BBB",-0.157385370811334,193,0.540616246498599,357,-0.157385370811334,1.42130731459433,"#80808026"
"DENK","BBB",-0.71651760922002,166,0.507645259938838,327,-0.71651760922002,1.14174119538999,"#80808026"
"FVD","BBB",0.691667287512968,234,0.641095890410959,365,0.691667287512968,1.84583364375648,"#80808026"
"GroenLinks-PvdA","BBB",-0.778643413487652,163,0.459154929577465,355,-0.778643413487652,1.11067829325617,"#80808026"
"JA21","BBB",0.505289874710072,225,0.78125,288,0.505289874710072,1.75264493735504,"#80808026"
"NSC","BBB",1.16796512023148,257,0.762611275964392,337,1.16796512023148,2.08398256011574,"#4D4D4DCC"
"PVV","BBB",1.64426295294999,280,0.786516853932584,356,1.64426295294999,2.32213147647499,"#4D4D4DCC"
"PvdD","BBB",-1.60698747038941,123,0.396774193548387,310,-1.60698747038941,0.696506264805295,"#80808026"
"SGP","BBB",1.37505113445692,267,0.771676300578035,346,1.37505113445692,2.18752556722846,"#4D4D4DCC"
"SP","BBB",-0.923603623445459,156,0.493670886075949,316,-0.923603623445459,1.03819818827727,"#80808026"
"VVD","BBB",1.76851456148525,286,0.828985507246377,345,1.76851456148525,2.38425728074263,"#4D4D4DCC"
"Volt","BBB",-0.654391804952388,169,0.526479750778816,321,-0.654391804952388,1.17280409752381,"#80808026"
"CDA","ChristenUnie",1.23009092449911,260,0.792682926829268,328,1.23009092449911,2.11504546224955,"#4D4D4DCC"
"D66","CDA",1.20938232307657,259,0.770833333333333,336,1.20938232307657,2.10469116153828,"#4D4D4DCC"
"CDA","DENK",-0.509431594994581,176,0.57328990228013,307,-0.509431594994581,1.24528420250271,"#80808026"
"FVD","CDA",-0.343762783614229,184,0.578616352201258,318,-0.343762783614229,1.32811860819289,"#80808026"
"GroenLinks-PvdA","CDA",0.215369454794457,211,0.613372093023256,344,0.215369454794457,1.60768472739723,"#80808026"
"CDA","JA21",-0.074550965121158,197,0.70863309352518,278,-0.074550965121158,1.46272451743942,"#80808026"
"NSC","CDA",1.43717693872455,270,0.787172011661808,343,1.43717693872455,2.21858846936227,"#4D4D4DCC"
"CDA","PVV",0.132535049104281,207,0.588068181818182,352,0.132535049104281,1.56626752455214,"#80808026"
"CDA","PvdD",-0.882186420600372,158,0.524916943521595,301,-0.882186420600372,1.05890678969981,"#80808026"
"SGP","CDA",0.54670707755516,227,0.74671052631579,304,0.54670707755516,1.77335353877758,"#80808026"
