"from","to","z_score","raw_weight","agreement_rate","total_votes","weight","width","color"
"GroenLinks-PvdA","DENK",0.926194657518738,628,0.779156327543424,806,0.926194657518738,1.96309732875937,"#80808026"
"GroenLinks-PvdA","PvdD",1.3129946292223,693,0.84718826405868,818,1.3129946292223,2.15649731461115,"#4D4D4DCC"
"GroenLinks-PvdA","CDA",0.360871621952,533,0.629279811097993,847,0.360871621952,1.680435810976,"#80808026"
"GroenLinks-PvdA","PVV",-1.01970673858993,301,0.332229580573951,906,-1.01970673858993,0.990146630705036,"#80808026"
"GroenLinks-PvdA","VVD",-0.442482165432312,398,0.469339622641509,848,-0.442482165432312,1.27875891728384,"#80808026"
"GroenLinks-PvdA","SGP",-0.234205257591934,433,0.529987760097919,817,-0.234205257591934,1.38289737120403,"#80808026"
"GroenLinks-PvdA","NSC",0.444182385088151,547,0.593919652551574,921,0.444182385088151,1.72209119254408,"#80808026"
"PvdD","DENK",0.836933125587148,613,0.78388746803069,782,0.836933125587148,1.91846656279357,"#80808026"
"CDA","DENK",-0.0854360377059508,458,0.579013906447535,791,-0.0854360377059508,1.45728198114702,"#80808026"
"DENK","PVV",-0.740020605204279,348,0.411834319526627,845,-0.740020605204279,1.12998969739786,"#80808026"
"VVD","DENK",-0.793577524363233,339,0.434615384615385,780,-0.793577524363233,1.10321123781838,"#80808026"
"SGP","DENK",-0.210402182410177,437,0.538177339901478,812,-0.210402182410177,1.39479890879491,"#80808026"
"NSC","DENK",-0.037829887342436,466,0.567600487210719,821,-0.037829887342436,1.48108505632878,"#80808026"
"PvdD","CDA",-0.210402182410177,437,0.542857142857143,805,-0.210402182410177,1.39479890879491,"#80808026"
"PvdD","PVV",-1.07921442654432,291,0.327702702702703,888,-1.07921442654432,0.960392786727839,"#80808026"
"PvdD","VVD",-0.876888287499384,325,0.398773006134969,815,-0.876888287499384,1.06155585625031,"#80808026"
"PvdD","SGP",-0.632906766886371,366,0.465057179161372,787,-0.632906766886371,1.18354661655681,"#80808026"
"PvdD","NSC",-0.115189881683148,453,0.522491349480969,867,-0.115189881683148,1.44240505915843,"#80808026"
"CDA","PVV",0.0633331821800329,483,0.547619047619048,882,0.0633331821800329,1.53166659109002,"#80808026"
"VVD","CDA",0.7238685184738,594,0.71825876662636,827,0.7238685184738,1.8619342592369,"#80808026"
"SGP","CDA",0.7238685184738,594,0.740648379052369,802,0.7238685184738,1.8619342592369,"#80808026"
"CDA","NSC",1.25943771006334,684,0.766816143497758,892,1.25943771006334,2.12971885503167,"#4D4D4DCC"
"VVD","PVV",0.836933125587148,613,0.686450167973124,893,0.836933125587148,1.91846656279357,"#80808026"
"SGP","PVV",0.372773159542879,535,0.650851581508516,822,0.372773159542879,1.68638657977144,"#80808026"
"NSC","PVV",0.622705448951331,577,0.621097954790097,929,0.622705448951331,1.81135272447567,"#80808026"
"SGP","VVD",0.420379309906394,543,0.688212927756654,789,0.420379309906394,1.7101896549532,"#80808026"
"VVD","NSC",1.1166192589728,660,0.754285714285714,875,1.1166192589728,2.0583096294864,"#4D4D4DCC"
"SGP","NSC",0.753622362450997,599,0.722557297949337,829,0.753622362450997,1.8768111812255,"#80808026"
"FVD","DENK",-0.490088315795826,390,0.480887792848335,811,-0.490088315795826,1.25495584210209,"#80808026"
"FVD","PVV",0.539394685815181,563,0.662352941176471,850,0.539394685815181,1.76969734290759,"#80808026"
"FVD","SGP",0.0335793382028361,478,0.604298356510746,791,0.0335793382028361,1.51678966910142,"#80808026"
"SGP","D66",0.17639778929338,502,0.608484848484849,825,0.17639778929338,1.58819889464669,"#80808026"
"SGP","SP",-0.382974477477918,408,0.508094645080946,803,-0.382974477477918,1.30851276126104,"#80808026"
"FVD","NSC",-0.269909870364571,427,0.49708963911525,859,-0.269909870364571,1.36504506481771,"#80808026"
"NSC","D66",0.866686969564345,618,0.666666666666667,927,0.866686969564345,1.93334348478217,"#80808026"
"NSC","SP",0.301363933997607,523,0.594994311717861,879,0.301363933997607,1.6506819669988,"#80808026"
"D66","PVV",-0.561497541341099,378,0.411764705882353,918,-0.561497541341099,1.21925122932945,"#80808026"
"SP","PVV",-0.864986749908505,327,0.381118881118881,858,-0.864986749908505,1.06750662504575,"#80808026"
"FVD","PvdD",-0.954248281840095,312,0.385185185185185,810,-0.954248281840095,1.02287585907995,"#80808026"
"PvdD","D66",0.836933125587148,613,0.732377538829152,837,0.836933125587148,1.91846656279357,"#80808026"
"PvdD","SP",1.4498623115174,716,0.8721071863581,821,1.4498623115174,2.2249311557587,"#4D4D4DCC"
"GroenLinks-PvdA","FVD",-1.06731288895344,293,0.354721549636804,826,-1.06731288895344,0.966343555523279,"#80808026"
"FVD","D66",-0.650759073272689,363,0.431116389548694,842,-0.650759073272689,1.17462046336366,"#80808026"
"FVD","SP",-0.573399078931977,376,0.449760765550239,836,-0.573399078931977,1.21330046053401,"#80808026"
"GroenLinks-PvdA","D66",1.41415769874476,710,0.817972350230415,868,1.41415769874476,2.20707884937238,"#4D4D4DCC"
"GroenLinks-PvdA","SP",1.29514232283598,690,0.842490842490842,819,1.29514232283598,2.14757116141799,"#4D4D4DCC"
"D66","SP",0.961899270291374,634,0.776009791921665,817,0.961899270291374,1.98094963514569,"#80808026"
"FVD","CDA",-0.3651221710916,411,0.505535055350554,813,-0.3651221710916,1.3174389144542,"#80808026"
"CDA","D66",0.985702345473132,638,0.744457409568261,857,0.985702345473132,1.99285117273657,"#80808026"
"GroenLinks-PvdA","ChristenUnie",0.890490044746102,622,0.733490566037736,848,0.890490044746102,1.94524502237305,"#80808026"
"GroenLinks-PvdA","BBB",-0.501989853386705,388,0.444444444444444,873,-0.501989853386705,1.24900507330665,"#80808026"
"ChristenUnie","PVV",-0.287762176750889,424,0.476940382452194,889,-0.287762176750889,1.35611891162456,"#80808026"
"BBB","PVV",1.16422540933631,668,0.752252252252252,888,1.16422540933631,2.08211270466816,"#4D4D4DCC"
"CDA","SP",0.0216778006119574,476,0.589838909541512,807,0.0216778006119574,1.51083890030598,"#80808026"
"VVD","SP",-0.722168298817961,351,0.434944237918216,807,-0.722168298817961,1.13891585059102,"#80808026"
"SP","ChristenUnie",0.604853142565013,574,0.699147381242387,821,0.604853142565013,1.80242657128251,"#80808026"
"BBB","SP",-0.603152922909174,371,0.456334563345633,813,-0.603152922909174,1.19842353854541,"#80808026"
"VVD","D66",-0.00212527456979996,472,0.553341148886284,853,-0.00212527456979996,1.4989373627151,"#80808026"
