"from","to","weight","agreement_rate","total_votes","width","color"
"D66","BBB",3,0.5,6,1,"#80808014"
"D66","GroenLinks-PvdA",7,1,7,2.33333333333333,"#808080D9"
"D66","NSC",1,0.142857142857143,7,0.5,"#80808014"
"D66","SGP",3,0.5,6,1,"#80808014"
"D66","FVD",4,0.666666666666667,6,1.33333333333333,"#80808014"
"D66","CDA",5,0.714285714285714,7,1.66666666666667,"#808080D9"
"D66","PVV",1,0.142857142857143,7,0.5,"#80808014"
"D66","VVD",1,0.125,8,0.5,"#80808014"
"D66","DENK",5,0.833333333333333,6,1.66666666666667,"#808080D9"
"D66","PvdD",5,0.833333333333333,6,1.66666666666667,"#808080D9"
"GroenLinks-PvdA","BBB",3,0.428571428571429,7,1,"#80808014"
"BBB","SGP",5,0.833333333333333,6,1.66666666666667,"#808080D9"
"BBB","SP",3,0.5,6,1,"#80808014"
"BBB","CDA",5,1,5,1.66666666666667,"#808080D9"
"BBB","VVD",6,1,6,2,"#808080D9"
"BBB","PvdD",1,0.2,5,0.5,"#80808014"
"GroenLinks-PvdA","NSC",1,0.166666666666667,6,0.5,"#80808014"
"GroenLinks-PvdA","SGP",3,0.3,10,1,"#80808014"
"GroenLinks-PvdA","CDA",4,0.5,8,1.33333333333333,"#80808014"
"PVV","GroenLinks-PvdA",1,0.2,5,0.5,"#80808014"
"GroenLinks-PvdA","VVD",2,0.222222222222222,9,0.666666666666667,"#80808014"
"GroenLinks-PvdA","DENK",5,0.833333333333333,6,1.66666666666667,"#808080D9"
"GroenLinks-PvdA","PvdD",5,1,5,1.66666666666667,"#808080D9"
"GroenLinks-PvdA","Volt",4,0.8,5,1.33333333333333,"#80808014"
"NSC","CDA",5,0.625,8,1.66666666666667,"#808080D9"
"PVV","NSC",5,1,5,1.66666666666667,"#808080D9"
"NSC","VVD",9,1,9,3,"#808080D9"
"DENK","NSC",0,0,5,0.5,"#80808014"
"PvdD","NSC",1,0.142857142857143,7,0.5,"#80808014"
"CDA","SGP",3,0.6,5,1,"#80808014"
"PVV","SGP",5,0.833333333333333,6,1.66666666666667,"#808080D9"
"VVD","SGP",7,0.777777777777778,9,2.33333333333333,"#808080D9"
"DENK","SGP",1,0.166666666666667,6,0.5,"#80808014"
"PvdD","SGP",3,0.375,8,1,"#80808014"
"Volt","SGP",2,0.285714285714286,7,0.666666666666667,"#80808014"
"CDA","FVD",5,1,5,1.66666666666667,"#808080D9"
"PVV","FVD",3,0.6,5,1,"#80808014"
"PvdD","FVD",2,0.4,5,0.666666666666667,"#80808014"
"SP","CDA",1,0.142857142857143,7,0.5,"#80808014"
"PvdD","SP",5,1,5,1.66666666666667,"#808080D9"
"PVV","CDA",2,0.4,5,0.666666666666667,"#80808014"
"VVD","CDA",5,0.625,8,1.66666666666667,"#808080D9"
"DENK","CDA",2,0.4,5,0.666666666666667,"#80808014"
"PvdD","CDA",1,0.166666666666667,6,0.5,"#80808014"
"PVV","VVD",5,0.833333333333333,6,1.66666666666667,"#808080D9"
"PVV","DENK",0,0,5,0.5,"#80808014"
"PVV","PvdD",1,0.2,5,0.5,"#80808014"
"DENK","VVD",0,0,7,0.5,"#80808014"
"PvdD","VVD",2,0.25,8,0.666666666666667,"#80808014"
"Volt","VVD",3,0.6,5,1,"#80808014"
"DENK","PvdD",4,0.8,5,1.33333333333333,"#80808014"
"Volt","PvdD",4,0.8,5,1.33333333333333,"#80808014"
"PVV","ChristenUnie",2,0.4,5,0.666666666666667,"#80808014"
"DENK","ChristenUnie",1,0.2,5,0.5,"#80808014"
"VVD","ChristenUnie",4,0.666666666666667,6,1.33333333333333,"#80808014"
"GroenLinks-PvdA","ChristenUnie",4,0.571428571428571,7,1.33333333333333,"#80808014"
"SGP","ChristenUnie",5,0.714285714285714,7,1.66666666666667,"#808080D9"
"D66","ChristenUnie",5,0.833333333333333,6,1.66666666666667,"#808080D9"
"CDA","ChristenUnie",5,1,5,1.66666666666667,"#808080D9"
"BBB","ChristenUnie",5,0.833333333333333,6,1.66666666666667,"#808080D9"
"PvdD","ChristenUnie",3,0.6,5,1,"#80808014"
