"from","to","weight","agreement_rate","total_votes","width","color"
"Omtzigt","D66",414,0.705281090289608,587,2.11584327086882,"#80808014"
"Omtzigt","PvdD",379,0.645655877342419,587,1.93696763202726,"#80808014"
"Omtzigt","PvdA",402,0.686006825938567,586,2.05451448040886,"#80808014"
"Omtzigt","PVV",385,0.65587734241908,587,1.96763202725724,"#80808014"
"Omtzigt","SGP",462,0.787052810902896,587,2.36115843270869,"#808080D9"
"Omtzigt","G<U+00FC>ndogan",176,0.300341296928328,586,0.899488926746167,"#80808014"
"Omtzigt","Groep Van Haga",380,0.647359454855196,587,1.94207836456559,"#80808014"
"Omtzigt","ChristenUnie",460,0.784982935153584,586,2.35093696763203,"#808080D9"
"Omtzigt","VVD",411,0.700170357751278,587,2.10051107325383,"#80808014"
"Omtzigt","BBB",431,0.734241908006814,587,2.20272572402044,"#808080D9"
"Omtzigt","JA21",393,0.671794871794872,585,2.00851788756388,"#80808014"
"Omtzigt","Volt",421,0.718430034129693,586,2.15161839863714,"#80808014"
"Omtzigt","SP",386,0.65982905982906,585,1.97274275979557,"#80808014"
"Omtzigt","GroenLinks",402,0.684838160136286,587,2.05451448040886,"#80808014"
"Omtzigt","DENK",397,0.678632478632479,585,2.02896081771721,"#80808014"
"Omtzigt","FVD",340,0.580204778156997,586,1.73764906303237,"#80808014"
"Omtzigt","Fractie Den Haan",385,0.656996587030717,586,1.96763202725724,"#80808014"
"Omtzigt","Ephraim",0,0,586,0.5,"#80808014"
"Omtzigt","CDA",453,0.773037542662116,586,2.31516183986371,"#808080D9"
"Omtzigt","BIJ1",366,0.628865979381443,582,1.87052810902896,"#80808014"
"PvdD","D66",391,0.66271186440678,590,1.99829642248722,"#80808014"
"PvdA","D66",449,0.763605442176871,588,2.29471890971039,"#808080D9"
"D66","PVV",272,0.461016949152542,590,1.39011925042589,"#80808014"
"D66","SGP",391,0.66271186440678,590,1.99829642248722,"#80808014"
"G<U+00FC>ndogan","D66",197,0.335034013605442,588,1.00681431005111,"#80808014"
"D66","Groep Van Haga",275,0.466101694915254,590,1.40545144804089,"#80808014"
"ChristenUnie","D66",471,0.801020408163265,588,2.40715502555366,"#808080D9"
"D66","VVD",424,0.71864406779661,590,2.16695059625213,"#808080D9"
"D66","BBB",338,0.572881355932203,590,1.72742759795571,"#80808014"
"JA21","D66",291,0.495741056218058,587,1.48722316865417,"#80808014"
"D66","Volt",466,0.792517006802721,588,2.38160136286201,"#808080D9"
"D66","SP",395,0.672913117546848,587,2.01873935264055,"#80808014"
"D66","GroenLinks",450,0.76271186440678,590,2.29982964224872,"#808080D9"
"DENK","D66",383,0.651360544217687,588,1.95741056218058,"#80808014"
"FVD","D66",251,0.426146010186757,589,1.28279386712095,"#80808014"
"D66","Fractie Den Haan",446,0.758503401360544,588,2.2793867120954,"#808080D9"
"Ephraim","D66",2,0.00340136054421769,588,0.5,"#80808014"
"D66","CDA",442,0.751700680272109,588,2.25894378194208,"#808080D9"
"D66","BIJ1",380,0.650684931506849,584,1.94207836456559,"#80808014"
"PvdA","PvdD",524,0.891156462585034,588,2.67802385008518,"#808080D9"
"PvdD","PVV",295,0.5,590,1.5076660988075,"#80808014"
"PvdD","SGP",334,0.566101694915254,590,1.70698466780239,"#80808014"
"G<U+00FC>ndogan","PvdD",161,0.273809523809524,588,0.82282793867121,"#80808014"
"PvdD","Groep Van Haga",282,0.477966101694915,590,1.4412265758092,"#80808014"
"ChristenUnie","PvdD",392,0.666666666666667,588,2.00340715502555,"#80808014"
"PvdD","VVD",255,0.432203389830508,590,1.30323679727428,"#80808014"
