from,to,weight
DENK,Volt,3937
DENK,SGP,3103
DENK,FVD,2405
DENK,PVV,2803
BIJ1,DENK,3519
BBB,DENK,3466
CDA,DENK,2915
DENK,PvdA,3970
DENK,GroenLinks,3966
D66,DENK,3169
DENK,VVD,2789
DENK,Omtzigt,3243
DENK,JA21,2725
ChristenUnie,DENK,3155
DENK,SP,3911
DENK,PvdD,3839
SGP,Volt,3042
FVD,Volt,1949
PVV,Volt,2349
BIJ1,Volt,3610
BBB,Volt,3086
CDA,Volt,3030
PvdA,Volt,4414
GroenLinks,Volt,4412
D66,Volt,3540
VVD,Volt,2870
Omtzigt,Volt,3172
JA21,Volt,2390
ChristenUnie,Volt,3358
SP,Volt,3865
PvdD,Volt,4025
FVD,SGP,2841
PVV,SGP,3068
BIJ1,SGP,2427
BBB,SGP,3617
CDA,SGP,3605
PvdA,SGP,2969
GroenLinks,SGP,2971
D66,SGP,3240
SGP,VVD,3500
Omtzigt,SGP,3518
JA21,SGP,3412
ChristenUnie,SGP,3564
SGP,SP,2931
PvdD,SGP,2763
FVD,PVV,3681
BIJ1,FVD,1944
BBB,FVD,3152
CDA,FVD,2337
FVD,PvdA,1931
FVD,GroenLinks,1931
D66,FVD,1940
FVD,VVD,2359
FVD,Omtzigt,2535
FVD,JA21,3504
ChristenUnie,FVD,2109
FVD,SP,2366
FVD,PvdD,2116
BIJ1,PVV,2201
BBB,PVV,3426
CDA,PVV,2509
PVV,PvdA,2381
GroenLinks,PVV,2385
D66,PVV,2178
PVV,VVD,2524
Omtzigt,PVV,2828
JA21,PVV,3587
ChristenUnie,PVV,2391
PVV,SP,2727
PVV,PvdD,2437
BBB,BIJ1,2721
BIJ1,CDA,2279
BIJ1,PvdA,3615
BIJ1,GroenLinks,3615
BIJ1,D66,2717
BIJ1,VVD,2141
BIJ1,Omtzigt,2652
BIJ1,JA21,2049
BIJ1,ChristenUnie,2580
BIJ1,SP,3605
BIJ1,PvdD,3733
BBB,CDA,2923
BBB,PvdA,3062
BBB,GroenLinks,3066
BBB,D66,2627
BBB,VVD,2867
BBB,Omtzigt,3402
BBB,JA21,3547
BBB,ChristenUnie,2887
BBB,SP,3257
BBB,PvdD,3011
CDA,PvdA,2952
CDA,GroenLinks,2950
CDA,D66,4015
CDA,VVD,4305
CDA,Omtzigt,3152
CDA,JA21,2930
CDA,ChristenUnie,4217
CDA,SP,2626
CDA,PvdD,2562
GroenLinks,PvdA,4736
D66,PvdA,3475
PvdA,VVD,2785
Omtzigt,PvdA,3123
JA21,PvdA,2320
ChristenUnie,PvdA,3297
PvdA,SP,3972
PvdA,PvdD,4146
D66,GroenLinks,3473
GroenLinks,VVD,2783
GroenLinks,Omtzigt,3120
GroenLinks,JA21,2320
ChristenUnie,GroenLinks,3291
GroenLinks,SP,3972
GroenLinks,PvdD,4146
D66,VVD,3950
D66,Omtzigt,2994
D66,JA21,2479
ChristenUnie,D66,4226
D66,SP,2979
D66,PvdD,3039
Omtzigt,VVD,3016
JA21,VVD,2967
ChristenUnie,VVD,4044
SP,VVD,2487
PvdD,VVD,2393
JA21,Omtzigt,3054
ChristenUnie,Omtzigt,3221
Omtzigt,SP,3099
Omtzigt,PvdD,2980
ChristenUnie,JA21,2733
JA21,SP,2553
JA21,PvdD,2272
ChristenUnie,SP,2961
ChristenUnie,PvdD,2917
PvdD,SP,4110
50PLUS,ChristenUnie,1
50PLUS,GroenLinks,2
50PLUS,D66,1
50PLUS,SGP,1
50PLUS,VVD,1
50PLUS,SP,2
50PLUS,PvdA,2
50PLUS,FVD,2
50PLUS,PVV,2
50PLUS,PvdD,2
50PLUS,DENK,1
50PLUS,CDA,1
PVV,PVV,0
BBB,BBB,0
