"from","to","weight","agreement_rate","total_votes","width","color"
"GroenLinks-PvdA","PvdD",36,0.857142857142857,42,2.20408163265306,"#808080D9"
"GroenLinks-PvdA","ChristenUnie",31,0.72093023255814,43,1.89795918367347,"#80808014"
"GroenLinks-PvdA","DENK",42,0.823529411764706,51,2.57142857142857,"#808080D9"
"GroenLinks-PvdA","SP",27,0.794117647058823,34,1.6530612244898,"#80808014"
"GroenLinks-PvdA","D66",29,0.763157894736842,38,1.77551020408163,"#80808014"
"GroenLinks-PvdA","CDA",23,0.621621621621622,37,1.40816326530612,"#80808014"
"PvdD","ChristenUnie",33,0.702127659574468,47,2.02040816326531,"#808080D9"
"DENK","PvdD",37,0.74,50,2.26530612244898,"#808080D9"
"SP","PvdD",49,0.924528301886792,53,3,"#808080D9"
"D66","PvdD",31,0.75609756097561,41,1.89795918367347,"#80808014"
"CDA","PvdD",19,0.527777777777778,36,1.16326530612245,"#80808014"
"DENK","ChristenUnie",23,0.534883720930233,43,1.40816326530612,"#80808014"
"SP","ChristenUnie",29,0.674418604651163,43,1.77551020408163,"#80808014"
"D66","ChristenUnie",30,0.810810810810811,37,1.83673469387755,"#80808014"
"CDA","ChristenUnie",28,0.875,32,1.71428571428571,"#80808014"
"DENK","SP",31,0.72093023255814,43,1.89795918367347,"#80808014"
"DENK","D66",26,0.722222222222222,36,1.59183673469388,"#80808014"
"DENK","CDA",25,0.568181818181818,44,1.53061224489796,"#80808014"
"D66","SP",23,0.696969696969697,33,1.40816326530612,"#80808014"
"CDA","SP",16,0.432432432432432,37,0.979591836734694,"#80808014"
"D66","CDA",23,0.741935483870968,31,1.40816326530612,"#80808014"
"DENK","FVD",14,0.333333333333333,42,0.857142857142857,"#80808014"
"DENK","PVV",21,0.5,42,1.28571428571429,"#80808014"
"DENK","NSC",28,0.622222222222222,45,1.71428571428571,"#80808014"
"DENK","Volt",34,0.790697674418605,43,2.08163265306122,"#808080D9"
"DENK","JA21",22,0.523809523809524,42,1.3469387755102,"#80808014"
"DENK","VVD",24,0.452830188679245,53,1.46938775510204,"#80808014"
"CDA","FVD",18,0.580645161290323,31,1.10204081632653,"#80808014"
"D66","FVD",18,0.529411764705882,34,1.10204081632653,"#80808014"
"FVD","PVV",21,0.61764705882353,34,1.28571428571429,"#80808014"
"FVD","NSC",20,0.588235294117647,34,1.22448979591837,"#80808014"
"FVD","Volt",9,0.3,30,0.551020408163265,"#80808014"
"JA21","FVD",27,0.675,40,1.6530612244898,"#80808014"
"VVD","FVD",20,0.571428571428571,35,1.22448979591837,"#80808014"
"CDA","PVV",18,0.545454545454545,33,1.10204081632653,"#80808014"
"CDA","NSC",29,0.725,40,1.77551020408163,"#80808014"
"CDA","Volt",23,0.741935483870968,31,1.40816326530612,"#80808014"
"JA21","CDA",23,0.696969696969697,33,1.40816326530612,"#80808014"
"CDA","VVD",33,0.75,44,2.02040816326531,"#808080D9"
"D66","PVV",18,0.461538461538462,39,1.10204081632653,"#80808014"
"D66","NSC",24,0.6,40,1.46938775510204,"#80808014"
"D66","Volt",33,0.891891891891892,37,2.02040816326531,"#808080D9"
"JA21","D66",24,0.75,32,1.46938775510204,"#80808014"
"D66","VVD",24,0.648648648648649,37,1.46938775510204,"#80808014"
"PVV","NSC",34,0.772727272727273,44,2.08163265306122,"#808080D9"
"PVV","Volt",20,0.48780487804878,41,1.22448979591837,"#80808014"
"JA21","PVV",16,0.592592592592593,27,0.979591836734694,"#80808014"
"VVD","PVV",31,0.75609756097561,41,1.89795918367347,"#80808014"
"Volt","NSC",28,0.636363636363636,44,1.71428571428571,"#80808014"
"JA21","NSC",21,0.567567567567568,37,1.28571428571429,"#80808014"
"VVD","NSC",40,0.816326530612245,49,2.44897959183673,"#808080D9"
