"from","to","weight","raw_weight","agreement_rate","total_votes","width","color"
"GroenLinks-PvdA","PvdD",1.56339354548407,36,0.857142857142857,42,1.42802303262956,"#808080D9"
"GroenLinks-PvdA","ChristenUnie",0.901472891146058,31,0.72093023255814,43,0.82341650671785,"#80808014"
"GroenLinks-PvdA","DENK",2.35769833068969,42,0.823529411764706,51,2.15355086372361,"#808080D9"
"GroenLinks-PvdA","SP",0.371936367675646,27,0.794117647058823,34,0.5,"#80808014"
"GroenLinks-PvdA","D66",0.636704629410852,29,0.763157894736842,38,0.581573896353167,"#80808014"
"GroenLinks-PvdA","CDA",-0.157600155794765,23,0.621621621621622,37,0.5,"#80808014"
"PvdD","ChristenUnie",1.16624115288126,33,0.702127659574468,47,1.06525911708253,"#808080D9"
"DENK","PvdD",1.69577767635168,37,0.74,50,1.5489443378119,"#808080D9"
"SP","PvdD",3.28438724676291,49,0.924528301886792,53,3,"#808080D9"
"D66","PvdD",0.901472891146058,31,0.75609756097561,41,0.82341650671785,"#80808014"
"CDA","PvdD",-0.687136679265177,19,0.527777777777778,36,0.627639155470249,"#80808014"
"DENK","ChristenUnie",-0.157600155794765,23,0.534883720930233,43,0.5,"#80808014"
"SP","ChristenUnie",0.636704629410852,29,0.674418604651163,43,0.581573896353167,"#80808014"
"D66","ChristenUnie",0.769088760278455,30,0.810810810810811,37,0.702495201535509,"#80808014"
"CDA","ChristenUnie",0.504320498543249,28,0.875,32,0.5,"#80808014"
"DENK","SP",0.901472891146058,31,0.72093023255814,43,0.82341650671785,"#80808014"
"DENK","D66",0.239552236808043,26,0.722222222222222,36,0.5,"#80808014"
"DENK","CDA",0.107168105940441,25,0.568181818181818,44,0.5,"#80808014"
"D66","SP",-0.157600155794765,23,0.696969696969697,33,0.5,"#80808014"
"CDA","SP",-1.08428907186799,16,0.432432432432432,37,0.990403071017274,"#80808014"
"D66","CDA",-0.157600155794765,23,0.741935483870968,31,0.5,"#80808014"
"DENK","FVD",-1.34905733360319,14,0.333333333333333,42,1.23224568138196,"#80808014"
"DENK","PVV",-0.422368417529971,21,0.5,42,0.5,"#80808014"
"DENK","NSC",0.504320498543249,28,0.622222222222222,45,0.5,"#80808014"
"DENK","Volt",1.29862528374887,34,0.790697674418605,43,1.18618042226488,"#808080D9"
"DENK","JA21",-0.289984286662368,22,0.523809523809524,42,0.5,"#80808014"
"DENK","VVD",-0.0252160249271624,24,0.452830188679245,53,0.5,"#80808014"
"CDA","FVD",-0.81952081013278,18,0.580645161290323,31,0.748560460652591,"#80808014"
"D66","FVD",-0.81952081013278,18,0.529411764705882,34,0.748560460652591,"#80808014"
"FVD","PVV",-0.422368417529971,21,0.61764705882353,34,0.5,"#80808014"
"FVD","NSC",-0.554752548397574,20,0.588235294117647,34,0.506717850287908,"#80808014"
"FVD","Volt",-2.01097798794121,9,0.3,30,1.83685220729367,"#80808014"
"JA21","FVD",0.371936367675646,27,0.675,40,0.5,"#80808014"
"VVD","FVD",-0.554752548397574,20,0.571428571428571,35,0.506717850287908,"#80808014"
"CDA","PVV",-0.81952081013278,18,0.545454545454545,33,0.748560460652591,"#80808014"
"CDA","NSC",0.636704629410852,29,0.725,40,0.581573896353167,"#80808014"
"CDA","Volt",-0.157600155794765,23,0.741935483870968,31,0.5,"#80808014"
"JA21","CDA",-0.157600155794765,23,0.696969696969697,33,0.5,"#80808014"
"CDA","VVD",1.16624115288126,33,0.75,44,1.06525911708253,"#808080D9"
"D66","PVV",-0.81952081013278,18,0.461538461538462,39,0.748560460652591,"#80808014"
"D66","NSC",-0.0252160249271624,24,0.6,40,0.5,"#80808014"
"D66","Volt",1.16624115288126,33,0.891891891891892,37,1.06525911708253,"#808080D9"
"JA21","D66",-0.0252160249271624,24,0.75,32,0.5,"#80808014"
"D66","VVD",-0.0252160249271624,24,0.648648648648649,37,0.5,"#80808014"
"PVV","NSC",1.29862528374887,34,0.772727272727273,44,1.18618042226488,"#808080D9"
"PVV","Volt",-0.554752548397574,20,0.48780487804878,41,0.506717850287908,"#80808014"
"JA21","PVV",-1.08428907186799,16,0.592592592592593,27,0.990403071017274,"#80808014"
"VVD","PVV",0.901472891146058,31,0.75609756097561,41,0.82341650671785,"#80808014"
"Volt","NSC",0.504320498543249,28,0.636363636363636,44,0.5,"#80808014"
"JA21","NSC",-0.422368417529971,21,0.567567567567568,37,0.5,"#80808014"
"VVD","NSC",2.09293006895448,40,0.816326530612245,49,1.91170825335893,"#808080D9"
"JA21","Volt",-1.21667320273559,15,0.441176470588235,34,1.11132437619962,"#80808014"
"VVD","Volt",0.107168105940441,25,0.568181818181818,44,0.5,"#80808014"
"JA21","VVD",0.636704629410852,29,0.743589743589744,39,0.581573896353167,"#80808014"
"JA21","SGP",0.239552236808043,26,0.666666666666667,39,0.5,"#80808014"
"JA21","ChristenUnie",-0.554752548397574,20,0.540540540540541,37,0.506717850287908,"#80808014"
"JA21","SP",-1.48144146447079,13,0.325,40,1.3531669865643,"#80808014"
"JA21","BBB",-0.157600155794765,23,0.821428571428571,28,0.5,"#80808014"
"DENK","SGP",-0.0252160249271624,24,0.48,50,0.5,"#80808014"
"DENK","BBB",-0.687136679265177,19,0.5,38,0.627639155470249,"#80808014"
"CDA","SGP",0.239552236808043,26,0.742857142857143,35,0.5,"#80808014"
"ChristenUnie","SGP",1.56339354548407,36,0.782608695652174,46,1.42802303262956,"#808080D9"
"SP","SGP",-1.21667320273559,15,0.441176470588235,34,1.11132437619962,"#80808014"
"FVD","SGP",0.636704629410852,29,0.674418604651163,43,0.581573896353167,"#80808014"
"BBB","SGP",1.16624115288126,33,0.75,44,1.06525911708253,"#808080D9"
"D66","SGP",0.769088760278455,30,0.681818181818182,44,0.702495201535509,"#80808014"
"PVV","SGP",-0.0252160249271624,24,0.585365853658537,41,0.5,"#80808014"
"CDA","BBB",-0.157600155794765,23,0.793103448275862,29,0.5,"#80808014"
"FVD","ChristenUnie",-0.951904941000383,17,0.515151515151515,33,0.869481765834933,"#80808014"
"ChristenUnie","BBB",0.504320498543249,28,0.848484848484849,33,0.5,"#80808014"
"ChristenUnie","PVV",-0.422368417529971,21,0.5,42,0.5,"#80808014"
"SP","FVD",-2.27574624967641,7,0.2,35,2.07869481765835,"#80808014"
