"from","to","weight","raw_weight","agreement_rate","total_votes","width","color"
"D66","ChristenUnie",1.31703294509005,893,0.807414104882459,1106,1.47284337463799,"#808080D9"
"D66","G<U+00FC>ndogan",-0.550672393609897,476,0.430769230769231,1105,0.615819209039548,"#80808014"
"D66","CDA",1.01246708650109,825,0.743913435527502,1109,1.1322461187865,"#808080D9"
"D66","DENK",0.546660479247386,721,0.651309846431798,1107,0.611332668660685,"#80808014"
"D66","Groep Van Haga",-0.532756754869369,480,0.431654676258993,1112,0.595784076342401,"#80808014"
"D66","BBB",-0.174443980058828,560,0.504959422903517,1109,0.5,"#80808014"
"D66","SP",0.65863322137568,746,0.673285198555957,1108,0.736552248017852,"#80808014"
"D66","BIJ1",0.586970666413572,730,0.663636363636364,1100,0.656411717229265,"#80808014"
"D66","SGP",0.394377549952906,687,0.619477006311993,1109,0.5,"#80808014"
"D66","PVV",-0.537235664554501,479,0.431920649233544,1109,0.600792859516688,"#80808014"
"D66","PvdD",0.739253595708052,764,0.688908926961226,1109,0.826710345155012,"#80808014"
"D66","JA21",-0.429741832111339,503,0.455615942028986,1104,0.5,"#80808014"
"D66","Volt",1.31703294509005,893,0.808876811594203,1104,1.47284337463799,"#808080D9"
"D66","VVD",0.801958331299897,778,0.700900900900901,1110,0.896833309595025,"#80808014"
"D66","Omtzigt",0.434687737119092,696,0.630434782608696,1104,0.5,"#80808014"
"D66","PvdA",1.14235546736991,854,0.772151898734177,1106,1.27750083084081,"#808080D9"
"D66","FVD",-0.743265510070562,433,0.390441839495041,1109,0.831196885533874,"#80808014"
"D66","Ephraim",-2.1451642415168,120,0.108597285067873,1105,2.3989460190856,"#80808014"
"D66","GroenLinks",1.15131328674017,856,0.771866546438233,1109,1.28751839718938,"#808080D9"
"D66","Fractie Den Haan",0.586970666413572,730,0.66003616636528,1106,0.656411717229265,"#80808014"
"ChristenUnie","G<U+00FC>ndogan",-0.707434232589508,441,0.401639344262295,1098,0.791126620139581,"#80808014"
"CDA","ChristenUnie",1.21849693201715,871,0.791099000908265,1101,1.36265014480368,"#808080D9"
"ChristenUnie","DENK",0.618323034209494,737,0.671220400728597,1098,0.691473199449272,"#80808014"
"ChristenUnie","Groep Van Haga",-0.272979993131727,538,0.488203266787659,1102,0.5,"#80808014"
"ChristenUnie","BBB",0.286883717509744,663,0.602727272727273,1100,0.5,"#80808014"
"ChristenUnie","SP",0.716859047282393,759,0.69,1100,0.801666429283579,"#80808014"
"ChristenUnie","BIJ1",0.47947683397041,706,0.645928636779506,1093,0.536200921046385,"#80808014"
"ChristenUnie","SGP",0.8870576153174,797,0.724545454545454,1100,0.992000189906472,"#80808014"
"ChristenUnie","PVV",-0.116218154152115,573,0.520909090909091,1100,0.5,"#80808014"
"ChristenUnie","PvdD",0.604886305154099,734,0.667879890809827,1099,0.676446849926412,"#80808014"
"ChristenUnie","JA21",-0.0669501476156659,584,0.53236098450319,1097,0.5,"#80808014"
"ChristenUnie","Volt",1.06621400272267,837,0.762989972652689,1097,1.19235151687794,"#808080D9"
"ChristenUnie","VVD",0.752690324763447,767,0.696639418710263,1101,0.841736694677872,"#80808014"
"Omtzigt","ChristenUnie",0.806437240985028,779,0.710118505013674,1097,0.901842092769312,"#80808014"
"ChristenUnie","PvdA",0.922888892798454,805,0.732484076433121,1099,1.03207045530077,"#80808014"
"FVD","ChristenUnie",-0.537235664554501,479,0.435454545454545,1100,0.600792859516688,"#80808014"
"ChristenUnie","Ephraim",-2.06902277686957,137,0.124772313296903,1098,2.31379670512273,"#80808014"
"ChristenUnie","GroenLinks",0.922888892798454,805,0.731818181818182,1100,1.03207045530077,"#80808014"
"ChristenUnie","Fractie Den Haan",0.474997924285278,705,0.641492265696087,1099,0.531192137872099,"#80808014"
"CDA","G<U+00FC>ndogan",-0.949295355586624,387,0.351818181818182,1100,1.06160091155106,"#80808014"
"G<U+00FC>ndogan","DENK",-0.985126633067678,379,0.345173041894353,1098,1.10167117694535,"#80808014"
"G<U+00FC>ndogan","Groep Van Haga",-1.64352635678205,232,0.210526315789474,1102,1.83796230356549,"#80808014"
"G<U+00FC>ndogan","BBB",-1.46884887906191,271,0.246363636363636,1100,1.64261975976831,"#80808014"
"G<U+00FC>ndogan","SP",-0.91346407810557,395,0.359417652411283,1099,1.02153064615677,"#80808014"
"G<U+00FC>ndogan","BIJ1",-0.841801523143461,411,0.376029277218664,1093,0.941390115368181,"#80808014"
"G<U+00FC>ndogan","SGP",-1.11053610425137,351,0.319381255686988,1099,1.24191710582538,"#80808014"
"G<U+00FC>ndogan","PVV",-1.62561071804152,236,0.214740673339399,1099,1.81792717086835,"#80808014"
"G<U+00FC>ndogan","PvdD",-0.850759342513725,409,0.372495446265938,1098,0.951407681716754,"#80808014"
"G<U+00FC>ndogan","JA21",-1.53155361465375,257,0.234275296262534,1097,1.71274272420833,"#80808014"
"G<U+00FC>ndogan","Volt",-0.6357716776274,457,0.416590701914312,1097,0.710986089350994,"#80808014"
"G<U+00FC>ndogan","VVD",-1.12845174299189,347,0.315454545454545,1100,1.26195223852253,"#80808014"
"Omtzigt","G<U+00FC>ndogan",-1.23146666574992,324,0.29535095715588,1097,1.37715425153112,"#80808014"
"G<U+00FC>ndogan","PvdA",-0.725349871330035,437,0.39799635701275,1098,0.811161752836728,"#80808014"
"FVD","G<U+00FC>ndogan",-1.777893647336,202,0.183636363636364,1100,1.98822579879409,"#80808014"
"G<U+00FC>ndogan","Ephraim",-0.765660058496221,428,0.389799635701275,1098,0.856240801405308,"#80808014"
"G<U+00FC>ndogan","GroenLinks",-0.716392051959772,439,0.399454049135578,1099,0.801144186488154,"#80808014"
"G<U+00FC>ndogan","Fractie Den Haan",-0.219233076910146,550,0.500454959053685,1099,0.5,"#80808014"
"CDA","DENK",0.295841536880007,665,0.603996366939146,1101,0.5,"#80808014"
"CDA","Groep Van Haga",0.161474246326054,635,0.574660633484163,1105,0.5,"#80808014"
"CDA","BBB",0.542181569562254,720,0.652765185856754,1103,0.606323885486399,"#80808014"
"CDA","SP",0.00471240734644238,600,0.544464609800363,1102,0.5,"#80808014"
"CDA","BIJ1",-0.183401799429092,558,0.50958904109589,1095,0.5,"#80808014"
"CDA","SGP",0.999030357445694,822,0.745916515426497,1102,1.11721976926364,"#80808014"
"CDA","PVV",0.0718960526234189,615,0.557570262919311,1103,0.5,"#80808014"
"CDA","PvdD",-0.0759079669859294,582,0.528130671506352,1102,0.5,"#80808014"
"CDA","JA21",0.412293188693433,691,0.628753412192903,1099,0.5,"#80808014"
"CDA","Volt",0.421251008063697,693,0.630573248407643,1099,0.5,"#80808014"
"CDA","VVD",1.42900568721834,918,0.831521739130435,1104,1.59806295399516,"#808080D9"
"Omtzigt","CDA",0.721337956967525,760,0.691537761601456,1099,0.806675212457865,"#80808014"
"CDA","PvdA",0.246573530343558,654,0.594005449591281,1101,0.5,"#80808014"
"CDA","FVD",-0.0535134185602706,587,0.532667876588022,1102,0.5,"#80808014"
"CDA","Ephraim",-1.9749656734818,158,0.143636363636364,1100,2.20861225846271,"#80808014"
"CDA","GroenLinks",0.251052440028689,655,0.593834995466908,1103,0.5,"#80808014"
"CDA","Fractie Den Haan",0.125642968845,627,0.569482288828338,1101,0.5,"#80808014"
"DENK","Groep Van Haga",0.130121878530132,628,0.568840579710145,1104,0.5,"#80808014"
"DENK","BBB",0.318236085305666,670,0.607985480943739,1102,0.5,"#80808014"
"DENK","SP",1.29015948697926,887,0.807097361237489,1099,1.44279067559227,"#808080D9"
"DENK","BIJ1",1.05725618335241,835,0.763952424519671,1093,1.18233395052937,"#808080D9"
"DENK","SGP",0.318236085305666,670,0.609090909090909,1100,0.5,"#80808014"
"DENK","PVV",0.264489169084085,658,0.59763851044505,1101,0.5,"#80808014"
"DENK","PvdD",1.03486163492675,830,0.754545454545455,1100,1.15729003465793,"#808080D9"
"DENK","JA21",-0.0759079669859294,582,0.530537830446673,1097,0.5,"#80808014"
"DENK","Volt",1.06621400272267,837,0.762989972652689,1097,1.19235151687794,"#808080D9"
"DENK","VVD",-0.0311188701346117,592,0.537205081669691,1102,0.5,"#80808014"
