from,to,weight
ChristenUnie,PvdD,18
PvdD,SGP,11
BBB,PVV,37
JA21,SGP,29
GroenLinks-PvdA,SP,385
D66,GroenLinks-PvdA,286
ChristenUnie,GroenLinks-PvdA,192
CDA,GroenLinks-PvdA,129
GroenLinks-PvdA,NSC,142
D66,VVD,105
ChristenUnie,D66,143
NSC,VVD,141
DENK,VVD,1
ChristenUnie,NSC,196
CDA,ChristenUnie,204
SGP,VVD,65
NSC,SGP,78
ChristenUnie,SP,51
ChristenUnie,VVD,128
GroenLinks-PvdA,PvdD,112
CDA,VVD,96
GroenLinks-PvdA,VVD,96
D66,NSC,94
CDA,Volt,30
CDA,NSC,117
CDA,SGP,109
D66,SGP,42
D66,PvdD,57
D66,SP,99
D66,Volt,62
CDA,D66,129
D66,DENK,24
ChristenUnie,SGP,177
GroenLinks-PvdA,SGP,58
DENK,SP,68
PvdD,SP,67
SP,Volt,19
BBB,SGP,48
GroenLinks-PvdA,Volt,96
PVV,VVD,35
BBB,VVD,77
DENK,NSC,6
BBB,ChristenUnie,23
CDA,SP,58
SGP,SP,18
VVD,Volt,16
SP,VVD,31
BBB,SP,5
JA21,SP,2
DENK,GroenLinks-PvdA,58
BBB,D66,16
JA21,PvdD,3
NSC,SP,38
BBB,NSC,65
NSC,PVV,28
ChristenUnie,PVV,13
CDA,PVV,11
CDA,PvdD,7
PvdD,Volt,25
DENK,PvdD,18
D66,JA21,17
ChristenUnie,JA21,14
DENK,Volt,9
BBB,GroenLinks-PvdA,17
JA21,PVV,7
JA21,VVD,20
BBB,CDA,16
ChristenUnie,Volt,28
NSC,PvdD,6
NSC,Volt,10
FVD,SGP,2
PVV,PvdD,10
JA21,NSC,9
BBB,JA21,19
D66,PVV,5
PVV,SGP,13
CDA,JA21,13
PVV,SP,2
GroenLinks-PvdA,JA21,3
CDA,DENK,3
DENK,SGP,2
PvdD,VVD,3
GroenLinks-PvdA,PVV,6
FVD,PVV,1
BBB,Volt,1
BBB,PvdD,2
ChristenUnie,DENK,10
JA21,Volt,1
SGP,Volt,2
DENK,JA21,1
DENK,PVV,1
