from,to,weight
DENK,GroenLinks-PvdA,0.805994005994006
GroenLinks-PvdA,PvdD,0.8691308691308691
CDA,GroenLinks-PvdA,0.6415584415584416
GroenLinks-PvdA,PVV,0.3874575594168165
GroenLinks-PvdA,VVD,0.5178749750349511
GroenLinks-PvdA,SGP,0.5642357642357643
GroenLinks-PvdA,NSC,0.6131416017575394
GroenLinks-PvdA,SP,0.8541458541458542
D66,GroenLinks-PvdA,0.840959040959041
ChristenUnie,GroenLinks-PvdA,0.7604395604395604
GroenLinks-PvdA,Volt,0.8937062937062937
GroenLinks-PvdA,JA21,0.48678777869529316
FVD,GroenLinks-PvdA,0.4188324670131947
BBB,GroenLinks-PvdA,0.48671328671328673
DENK,PvdD,0.8013986013986014
CDA,DENK,0.5926073926073926
DENK,PVV,0.41382065108847615
DENK,VVD,0.48092670261633713
DENK,SGP,0.5528471528471528
DENK,NSC,0.578989414819253
DENK,SP,0.8235764235764236
D66,DENK,0.7324675324675325
ChristenUnie,DENK,0.6999000999000999
DENK,Volt,0.788011988011988
DENK,JA21,0.48926507018992565
DENK,FVD,0.5011995201919233
BBB,DENK,0.48691308691308693
CDA,PvdD,0.5582417582417583
PVV,PvdD,0.35130816856401037
PvdD,VVD,0.4353904533652886
PvdD,SGP,0.4905094905094905
NSC,PvdD,0.5386458957459557
PvdD,SP,0.8655344655344656
D66,PvdD,0.7428571428571429
ChristenUnie,PvdD,0.6775224775224775
PvdD,Volt,0.8183816183816184
JA21,PvdD,0.42093311312964493
FVD,PvdD,0.40503798480607756
BBB,PvdD,0.42097902097902096
CDA,PVV,0.5927701218294388
CDA,VVD,0.7727181945276613
CDA,SGP,0.7616383616383616
CDA,NSC,0.7944877171959257
CDA,SP,0.5908091908091908
CDA,D66,0.7334665334665335
CDA,ChristenUnie,0.7808191808191808
CDA,Volt,0.6723276723276723
CDA,JA21,0.6746490503715937
CDA,FVD,0.5239904038384646
BBB,CDA,0.73006993006993
PVV,VVD,0.7107207027350768
PVV,SGP,0.658278410225684
NSC,PVV,0.6542223996805749
PVV,SP,0.4010385460355502
D66,PVV,0.4489714399840224
ChristenUnie,PVV,0.5297523961661342
PVV,Volt,0.3970441382065109
JA21,PVV,0.7525794469665704
FVD,PVV,0.6685988406955826
BBB,PVV,0.7609346914319952
SGP,VVD,0.7409626522867985
NSC,VVD,0.8131363545617888
SP,VVD,0.47713201517874976
D66,VVD,0.6297183942480528
ChristenUnie,VVD,0.6678649890153785
VVD,Volt,0.5522268823646894
JA21,VVD,0.7346264960792406
FVD,VVD,0.5517585931254996
BBB,VVD,0.81725584182145
NSC,SGP,0.7607349710405432
SGP,SP,0.5406593406593406
D66,SGP,0.6433566433566433
ChristenUnie,SGP,0.749050949050949
SGP,Volt,0.5922077922077922
JA21,SGP,0.7469033856317093
FVD,SGP,0.6109556177528989
BBB,SGP,0.7686313686313686
NSC,SP,0.585180746954264
D66,NSC,0.6946275214699421
ChristenUnie,NSC,0.7509486718593968
NSC,Volt,0.6395046934291991
JA21,NSC,0.6910854312835328
FVD,NSC,0.5523581135091926
BBB,NSC,0.7835030956660675
D66,SP,0.7494505494505495
ChristenUnie,SP,0.7148851148851149
SP,Volt,0.7978021978021979
JA21,SP,0.48307184145334436
FVD,SP,0.46921231507397043
BBB,SP,0.47952047952047955
ChristenUnie,D66,0.7892107892107892
D66,Volt,0.878921078921079
D66,JA21,0.5602807597027251
D66,FVD,0.4372251099560176
BBB,D66,0.5798201798201799
ChristenUnie,Volt,0.7768231768231768
ChristenUnie,JA21,0.6370767960363336
ChristenUnie,FVD,0.5137944822071171
BBB,ChristenUnie,0.6567432567432567
JA21,Volt,0.5144508670520231
FVD,Volt,0.4216313474610156
BBB,Volt,0.5110889110889111
FVD,JA21,0.6820904771741376
BBB,JA21,0.7842691990090834
BBB,FVD,0.6309476209516194
NSC,NSC,0.0
VVD,VVD,0.0
PVV,PVV,0.0
D66,GroenLinks,0.0
GroenLinks,SP,0.0
