from,to,weight
DENK,Volt,0.828493265993266
DENK,SGP,0.6527135044173328
DENK,FVD,0.5061026936026936
DENK,PVV,0.589484752891693
BBB,DENK,0.7309152256431886
CDA,DENK,0.6131678586453513
DENK,PvdA,0.8350862431636517
DENK,GroenLinks,0.8342448464450989
D66,DENK,0.6665965502734539
DENK,VVD,0.5866638620109381
DENK,JA21,0.5762317614717699
ChristenUnie,DENK,0.6636516617585192
DENK,SP,0.822675641564998
DENK,PvdD,0.8075305006310476
SGP,Volt,0.6401515151515151
FVD,Volt,0.4103157894736842
PVV,Volt,0.4942141805175678
BBB,Volt,0.6507802614930409
CDA,Volt,0.6376262626262627
PvdA,Volt,0.9288720538720538
GroenLinks,Volt,0.9284511784511784
D66,Volt,0.7449494949494949
VVD,Volt,0.6039562289562289
JA21,Volt,0.5053922605201946
ChristenUnie,Volt,0.7066498316498316
SP,Volt,0.8133417508417509
PvdD,Volt,0.8470117845117845
FVD,SGP,0.5978535353535354
PVV,SGP,0.6449442926214001
BBB,SGP,0.7627583298186419
CDA,SGP,0.7579899074852817
PvdA,SGP,0.6242640874684608
GroenLinks,SGP,0.6246846089150546
D66,SGP,0.6812447434819175
SGP,VVD,0.7359125315391085
JA21,SGP,0.721505603721717
ChristenUnie,SGP,0.7493692178301093
SGP,SP,0.6162741799831791
PvdD,SGP,0.580950378469302
FVD,PVV,0.7744582369030086
BBB,FVD,0.6649789029535865
CDA,FVD,0.4917929292929293
FVD,PvdA,0.40635521885521886
FVD,GroenLinks,0.40635521885521886
D66,FVD,0.40824915824915825
FVD,VVD,0.49642255892255893
FVD,JA21,0.7409600338337915
ChristenUnie,FVD,0.4438131313131313
FVD,SP,0.4978956228956229
FVD,PvdD,0.4452861952861953
BBB,PVV,0.7221753794266442
CDA,PVV,0.5274332562539416
PVV,PvdA,0.5005255413075468
GroenLinks,PVV,0.5012610340479193
D66,PVV,0.45785158713474877
PVV,VVD,0.5305865040992221
JA21,PVV,0.7583509513742072
ChristenUnie,PVV,0.5025220680958385
PVV,SP,0.5732604582720202
PVV,PvdD,0.5122976665965945
BBB,CDA,0.6164065795023197
BBB,PvdA,0.6457191058625052
BBB,GroenLinks,0.6465626318009279
BBB,D66,0.5539856600590468
BBB,VVD,0.6045972163644032
BBB,JA21,0.7516422970968426
BBB,ChristenUnie,0.6088148460565163
BBB,SP,0.6868409953606074
BBB,PvdD,0.6349641501476171
CDA,PvdA,0.6206896551724138
CDA,GroenLinks,0.62026913372582
CDA,D66,0.8441968040370059
CDA,VVD,0.9051724137931034
CDA,JA21,0.6195813068301966
CDA,ChristenUnie,0.8866694701429773
CDA,SP,0.5521446593776282
CDA,PvdD,0.5386879730866274
GroenLinks,PvdA,0.9957947855340622
D66,PvdA,0.7306560134566863
PvdA,VVD,0.5855761143818334
JA21,PvdA,0.49058997673926835
ChristenUnie,PvdA,0.6932296047098402
PvdA,SP,0.8351555929352397
PvdA,PvdD,0.8717409587888982
D66,GroenLinks,0.7302354920100925
GroenLinks,VVD,0.5851555929352397
GroenLinks,JA21,0.49058997673926835
ChristenUnie,GroenLinks,0.6919680403700589
GroenLinks,SP,0.8351555929352397
GroenLinks,PvdD,0.8717409587888982
D66,VVD,0.8305298570227082
D66,JA21,0.5242123070416579
ChristenUnie,D66,0.8885618166526493
D66,SP,0.6263666947014298
D66,PvdD,0.6389823380992431
JA21,VVD,0.6274053711144005
ChristenUnie,VVD,0.8502943650126157
SP,VVD,0.5229184188393609
PvdD,VVD,0.5031539108494533
ChristenUnie,JA21,0.5779234510467329
JA21,SP,0.5398604356100656
JA21,PvdD,0.48043983928949036
ChristenUnie,SP,0.6225820016820858
ChristenUnie,PvdD,0.6133305298570227
PvdD,SP,0.8641715727502103
PVV,PVV,0.0
BBB,BBB,0.0
